"08/2015"  ,1.60E+11 
"09/2015"  ,5.65E+10 
"10/2015" ,5.39E+10 
"11/2015"  ,5.36E+10 
"12/2015"  ,5.59E+10 
"01/2016"  ,5.66E+10 
"02/2016"  ,6.92E+10 
"03/2016"  ,3.28E+10 
"04/2016"  ,2.34E+10 
"05/2016"  ,2.37E+10 
"06/2016"  ,2.3E+10 
"07/2016"  ,2.26E+10 
"08/2016"  ,2.24E+10 
"09/2016"  ,2.53E+10 
"10/2016"  ,3.21E+10 
"11/2016"  ,2.46E+10 
"12/2016"  ,5.03E+10 
"01/2017"  ,2.25E+10 
"02/2017"  ,2.3E+10 
"03/2017"  ,2.32E+10 
"04/2017"  ,2.24E+10 
"05/2017"  ,2.36E+10 
"06/2017"  ,3.02E+10 
"07/2017"  ,2.55E+10 
"08/2017"  ,2.59E+10 
"09/2017"  ,3.07E+10 
"10/2017"  ,1.75E+10 
"11/2017"  ,1.53E+10 
"12/2017"  ,3.34E+10 
"01/2018"  ,5.21E+10 
"02/2018"  ,2.36E+10 
"03/2018"  ,1.55E+10 
"04/2018"  ,1.32E+10 
"05/2018"  ,1.74E+10 
"06/2018"  ,1.65E+10 
"07/2018"  ,2.75E+10 
"08/2018"  ,1.85E+10 
"09/2018"  ,1.52E+10 
"10/2018"  ,1.45E+10 
"11/2018"  ,1.6E+10 
"12/2018",1.63E+10